,County,Precinct,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREIMCM,G16PRECCAS,G16PRESLAR,G16PREAROC,G16SOSRESP,G16SOSDOLI,G16SSCRNAK,G16SSCDVIG,G16SACRFRE,G16SACDVAR,COUNTYFP
93,Bernalillo,Precinct 094,43,133,20,0,0,0,0,0,49,148,59,136,39,153,001
94,Bernalillo,Precinct 095,31,222,39,0,0,0,0,0,52,224,58,214,38,234,001
95,Bernalillo,Precinct 096,195,289,55,9,6,0,0,0,202,334,301,235,229,293,001
96,Bernalillo,Precinct 097,329,400,101,7,0,0,0,0,283,521,431,368,359,435,001
97,Bernalillo,Precinct 098,154,377,62,6,0,0,0,0,176,407,211,360,155,412,001
98,Bernalillo,Precinct 099,274,370,58,0,0,0,0,0,264,415,334,341,263,404,001
99,Bernalillo,Precinct 101,57,341,59,28,0,0,6,0,80,397,130,343,94,368,001
100,Bernalillo,Precinct 102,35,231,28,14,0,0,0,0,49,256,80,213,45,245,001
101,Bernalillo,Precinct 103,125,490,48,10,0,0,0,0,156,489,217,428,168,463,001
102,Bernalillo,Precinct 104,14,115,9,0,0,0,0,0,23,111,35,100,21,115,001
103,Bernalillo,Precinct 105,30,151,12,0,0,0,0,0,42,140,44,133,26,147,001
104,Bernalillo,Precinct 106,91,396,51,9,0,0,0,0,112,402,149,369,105,401,001
105,Bernalillo,Precinct 107,61,336,37,9,0,0,0,0,66,367,136,294,91,325,001
106,Bernalillo,Precinct 108,131,161,28,0,0,0,0,0,137,180,189,122,171,134,001
107,Bernalillo,Precinct 109,16,25,0,0,0,0,0,0,13,31,22,23,12,31,001
108,Bernalillo,Precinct 110,249,337,78,8,0,0,0,0,263,386,362,283,312,324,001
109,Bernalillo,Precinct 111,377,521,140,13,10,0,0,0,376,647,562,451,462,533,001
110,Bernalillo,Precinct 112,469,513,158,16,15,0,0,0,516,615,714,407,606,503,001
111,Bernalillo,Precinct 113,288,309,84,7,14,0,0,0,301,377,422,258,352,319,001
112,Bernalillo,Precinct 114,750,675,189,18,26,7,0,0,756,839,1047,546,891,670,001
113,Bernalillo,Precinct 115,873,885,187,19,39,0,0,0,879,1058,1173,752,1026,864,001
114,Bernalillo,Precinct 116,278,238,65,0,6,0,0,0,276,306,369,208,338,233,001
115,Bernalillo,Precinct 117,777,698,182,18,34,7,0,0,820,840,1024,607,909,708,001
116,Bernalillo,Precinct 118,528,454,129,11,29,7,0,0,558,562,699,408,622,470,001
117,Bernalillo,Precinct 119,468,763,149,17,7,0,0,0,490,861,666,645,540,765,001
118,Bernalillo,Precinct 120,359,586,110,10,0,0,0,0,378,646,515,491,425,566,001
119,Bernalillo,Precinct 121,141,488,43,8,0,0,0,0,161,504,288,380,215,435,001
120,Bernalillo,Precinct 122,44,217,24,7,0,0,0,0,53,241,97,191,63,218,001
121,Bernalillo,Precinct 123,65,383,50,25,0,0,0,0,78,430,149,354,104,389,001
122,Bernalillo,Precinct 124,37,251,34,11,0,0,0,0,47,277,91,225,56,255,001
123,Bernalillo,Precinct 125,68,307,35,8,0,0,0,0,66,349,149,256,103,289,001
124,Bernalillo,Precinct 127,602,598,135,12,27,0,0,0,633,688,800,503,689,596,001
125,Bernalillo,Precinct 128,277,246,82,11,6,0,0,0,294,309,391,212,336,256,001
126,Bernalillo,Precinct 129,234,217,56,0,0,0,0,0,243,249,285,203,267,216,001
127,Bernalillo,Precinct 131,47,179,20,9,0,0,0,0,54,195,91,153,71,159,001
128,Bernalillo,Precinct 132,54,255,32,21,0,0,0,0,51,293,96,232,68,260,001
129,Bernalillo,Precinct 133,42,202,22,0,0,0,0,0,37,225,81,178,49,210,001
130,Bernalillo,Precinct 134,577,870,212,19,12,0,0,0,634,981,821,758,672,894,001
131,Bernalillo,Precinct 135,56,295,27,14,0,0,0,0,63,318,107,264,66,311,001
132,Bernalillo,Precinct 136,231,487,100,8,0,0,0,0,261,528,326,454,259,506,001
133,Bernalillo,Precinct 137,154,293,60,0,0,0,0,0,173,310,229,246,171,300,001
134,Bernalillo,Precinct 138,168,443,85,10,0,0,0,0,190,502,248,426,201,466,001
135,Bernalillo,Precinct 139,114,220,25,6,0,0,0,0,107,238,142,197,99,237,001
136,Bernalillo,Precinct 140,131,305,54,0,0,0,0,0,149,314,164,299,140,327,001
137,Bernalillo,Precinct 141,159,346,57,6,6,0,0,0,183,372,214,323,189,343,001
138,Bernalillo,Precinct 142,243,490,88,11,6,0,0,0,278,513,344,432,278,486,001
139,Bernalillo,Precinct 143,81,226,32,0,0,0,0,0,93,238,105,208,85,233,001
140,Bernalillo,Precinct 144,202,317,78,7,0,0,0,0,206,358,263,302,206,346,001
141,Bernalillo,Precinct 150,189,596,97,11,0,0,0,0,216,641,413,450,294,552,001
142,Bernalillo,Precinct 151,118,409,56,11,0,0,0,0,119,456,200,376,137,441,001
143,Bernalillo,Precinct 152,105,337,44,6,0,0,0,0,105,377,210,276,129,342,001
144,Bernalillo,Precinct 153,131,334,47,15,0,0,0,0,141,385,206,319,159,363,001
145,Bernalillo,Precinct 154,205,681,87,15,0,0,0,0,216,746,379,580,251,695,001
146,Bernalillo,Precinct 161,69,214,40,0,0,0,0,0,77,242,111,203,85,222,001
147,Bernalillo,Precinct 162,92,445,52,15,0,0,0,0,111,476,210,367,134,439,001
148,Bernalillo,Precinct 163,46,212,36,12,0,0,0,0,50,248,121,179,63,229,001
